"TeamId","TeamName","TotalUSDPrize","TotalTournaments"
287,"H2K",713712.74,43
671,"Tricked eSports",713174.39,112
24898,"Valhalla Vikings",712144.55,6
153,"ROOT Gaming",710867.69,639
774,"Los Angeles Gladiators",709605.19,13
372,"Panda Global",697411.89,491
109,"Team Acer",689747.97,571
242,"Final Boss",667891,43
168,"mYinsanity",666123.41,472
142,"Hwaseung OZ",662772.23,44
301,"TongFu",648617.82,43
134,"Prime",635241.44,195
318,"Snake Esports",632602.77,39
442,"EURONICS Gaming",631665.14,288
366,"Birmingham Salvo",623465.73,12
852,"Team Atlantis",618267.52,49
305,"NaJin e-mFire",616799.21,35
501,"GODSENT",604168.84,90
24667,"Suning",602343.44,10
954,"forZe",600618.55,90
861,"Atlanta Reign",596098,9
829,"Winstrike Team",589792.66,46
447,"STX SouL",582668.98,78
24797,"TOX Gaming",569000,11
674,"The Chiefs eSports Club",566204.44,112
183,"AZUBU",551164.03,46
518,"Ad Finem",544089.37,13
525,"Tempest",544085,14
158,"4Kings",544046.42,114
362,"DetonatioN",539438.06,68
770,"Los Angeles Valiant",535000,6
544,"INTZ eSports",532674.09,112
583,"Korean National Team",532247.1,27
309,"Mindfreak",525282.89,86
923,"Eleven Gaming",522100,31
931,"Triumphant Song Gaming",520116.82,116
24833,"London Royal Ravens",519650,11
849,"Nordavind",518874.45,78
708,"Team Singularity",518638.36,140
24781,"Rex Regum Qeon",510845.74,31
364,"Carbon",505208.84,153
572,"Gale Force eSports",504565.14,74
201,"Team 3D",503225,72
374,"Chicago Chimera",497750,7
440,"Illuminar Gaming",495327.14,69
331,"Giants Gaming",495132.05,99
840,"Team Serenity",491431.75,9
577,"Ting",491240.26,146
24734,"Nigma",475124,12
204,"Moscow Five",469104.79,71
248,"Team Infused",467091.66,109
335,"Enemy",462681.45,66
229,"wisdom Nerve victory",462297.48,67
536,"Obey Alliance",460283.28,31
133,"Old Generations",456814.74,77
24773,"HAVU Gaming",452920.01,53
744,"Hong Kong Attitude",452296.84,45
147,"Woongjin Stars",450596.55,47
825,"Pittsburgh Knights",447963.23,55
286,"Orange Esports",446394.67,40
296,"Clan Kapitol",446089.23,37
265,"Unicorns of Love",445039.48,66
237,"Fariko",435621.58,8
720,"Planet Odd",428371.14,16
24708,"Talon Esports",426548.29,19
821,"Griffin",426342.26,18
732,"RunAway",425848.84,20
860,"Hangzhou Spark",425000,3
313,"Origen",420582.91,15
395,"PSISTORM Gaming",419983.17,491
198,"against All authority",417963.95,195
832,"Team Queso",416359.62,31
789,"KSV eSports",408998.2,14
107,"FXOpen e-Sports",406442.24,144
847,"UYU",405300.51,102
24780,"EVOS",404412.94,37
137,"Team SCV Life",402513.32,187
765,"GC Busan",394681.71,18
135,"SlayerS",383967.89,96
413,"eSuba",383657.25,169
827,"Red Reserve",383100,34
948,"Red Bull eSports",382547.68,15
24782,"BDS Esport",380942.41,19
