"TournamentId","GameId","TournamentName","StartDate","EndDate","Location","Teamplay","TotalUSDPrize"
44185,245,"ESEA AP CS:GO Open Season 35 - Playoffs","2020-11-04","2020-11-11","Online",1,11000
44187,245,"ESEA Cash Cup - North America: Autumn 2020 #3","2020-11-07","2020-11-11","Online",1,4000
44387,558,"Juice Box #19","2020-11-11","2020-11-11","Online",0,150
44182,702,"Version1 Emergency Meeting Invitational","2020-11-11","2020-11-11","Online",0,10000
44191,352,"CFSI 2020 EUMENA","2020-06-10","2020-11-10","Online",1,30000
44212,547,"Titled Tuesday November 2020 #2","2020-11-10","2020-11-10","Online",0,1500
44214,152,"Bombastic StarLeague 10","2020-09-19","2020-11-08","Online",0,5000
44183,151,"DH SC2 Masters 2020 Winter: Europe","2020-10-21","2020-11-08","Online",0,84000
44224,151,"DH SC2 Masters 2020 Winter: North America","2020-10-27","2020-11-08","Online",0,37840
44250,231,"DOTA Summit 13 - AM","2020-10-21","2020-11-08","Online",1,1e+05
44133,231,"DOTA Summit 13 - EU/CIS","2020-11-02","2020-11-08","Online",1,50000
44171,231,"DOTA Summit 13 - SEA","2020-10-21","2020-11-08","Southeast Asia",1,1e+05
44172,555,"EACC Autumn 2020 SEA","2020-11-02","2020-11-08","Southeast Asia",1,50000
44287,231,"Epulze Global Dota 2 League - Season 2 CIS","2020-10-08","2020-11-08","Online",1,1400
44286,231,"Epulze Global Dota 2 League - Season 2 EU","2020-10-12","2020-11-08","Online",1,1400
44289,231,"Epulze Global Dota 2 League - Season 2 SEA","2020-10-08","2020-11-08","Online",1,1400
44137,245,"ESEA Cash Cup - Europe: Autumn 2020 #3","2020-11-07","2020-11-08","Online",1,4000
44211,709,"Frame Perfect Series 3: ONLINE (KF2)","2020-11-08","2020-11-08","Online",0,222.86
44163,558,"Frame Perfect Series 3: ONLINE (SSBU)","2020-11-08","2020-11-08","Online",0,705.82
44148,245,"Golden League FPL Cup #1","2020-11-07","2020-11-08","Online",1,4000
44135,245,"LOOT.BET/CS Season 8","2020-10-05","2020-11-08","Online",1,50000
44136,245,"Master League Portugal - Season 6","2020-09-21","2020-11-08","Online",1,15354.17
44138,245,"Meio Norte Games 2020","2020-10-18","2020-11-08","Online",1,1847.3
44139,245,"Polish Esport Cup Fall 2020: Season 2","2020-11-07","2020-11-08","Online",1,3161.52
44410,439,"Six November 2020 Major - Europe","2020-11-06","2020-11-08","Online",1,125000
44162,558,"Smash Bowl MMXXI - Stage 1 Group A2","2020-11-08","2020-11-08","Online",0,3500
44145,179,"Tournament Champions League 2020","2020-11-07","2020-11-08","Online",0,10400
44151,569,"ADAC GT Masters Esports 2020","2020-08-01","2020-11-07","Online",0,41650
44357,650,"Blitz Titled Arena November '20","2020-11-07","2020-11-07","Online",0,1000
44147,245,"ESL UK/IRE Premiership - Autumn 2020 (CS:GO)","2020-09-07","2020-11-07","Online",1,26315.01
44130,393,"Female Diabotical Invitational #1","2020-11-07","2020-11-07","Online",1,570
44165,469,"Frame Perfect Series 3: ONLINE (RoA)","2020-11-07","2020-11-07","Online",0,224.11
44164,204,"Frame Perfect Series 3: ONLINE (SSBM)","2020-11-07","2020-11-07","Online",0,647.52
44155,648,"HusKerrs Howl: Grand Finals","2020-11-07","2020-11-07","Online",0,150000
44113,151,"IntoTheAlphaX Super Series #34","2020-11-07","2020-11-07","Online",0,200
44131,661,"NiqNaq Random Draft Constructed","2020-11-07","2020-11-07","Online",0,46.2
44223,409,"NovisCup #3","2020-11-07","2020-11-07","Europe",1,226.1
44143,179,"Rubenstock vs PROject_Belgium Sudden Death Bo7 Showmatch","2020-11-07","2020-11-07","Online",0,200
44144,179,"The_Dragonstar vs AngelinaJolie Bo5 Showmatch","2020-11-07","2020-11-07","Online",0,50
44126,393,"TimCon Mega","2020-11-07","2020-11-07","Europe",0,1500
44210,710,"Frame Perfect Series 3: ONLINE (Smash Remix)","2020-11-06","2020-11-06","Online",0,299.06
44153,566,"GLL Community Cups #17 - APAC South","2020-11-05","2020-11-06","Online",1,510
44125,648,"HusKerrs Howl: Day 4","2020-11-06","2020-11-06","Online",0,30000
44140,245,"King of Nordic - Season 17: Week #2","2020-11-06","2020-11-06","Online",1,593.76
44142,179,"Master of the Circus","2020-10-05","2020-11-06","Online",0,180
44435,646,"Polish Esport Cup 2","2020-11-03","2020-11-06","Poland",1,1080
44205,534,"Road to GlitchCon - Fortnite","2020-11-06","2020-11-06","Online",1,35461.56
44124,702,"Code Red: Among Us - 11/05/2020","2020-11-05","2020-11-05","Online",0,10000
44421,393,"Dash Bracket #2","2020-11-05","2020-11-05","North America",0,21.44
44420,393,"Dash Bracket #3","2020-11-05","2020-11-05","North America",0,25
44152,566,"GLL Community Cups #17 - EMEA","2020-11-04","2020-11-05","Online",1,510
44123,648,"HusKerrs Howl: Day 3","2020-11-05","2020-11-05","Online",0,30000
44060,245,"LPL Pro League Season 6","2020-09-23","2020-11-05","Online",1,7274.49
44141,179,"Masters of RMS","2020-10-05","2020-11-05","Online",0,195
44209,646,"Road to GlitchCon - VALORANT","2020-11-05","2020-11-05","Online",0,26263
44052,245,"BLAST Premier: Fall 2020 Regular Season","2020-10-26","2020-11-04","Online",1,150000
44122,648,"Call of Duty Warzone Champions Challenge","2020-11-04","2020-11-04","Online",0,30000
44059,245,"ESEA AU CS:GO MDL Season 35 - Playoffs","2020-10-30","2020-11-04","Online",1,13250
44388,558,"Juice Box #18","2020-11-04","2020-11-04","Online",0,150
44057,245,"Nine to Five #5","2020-10-19","2020-11-04","Online",1,50000
44158,547,"Titled Tuesday November 2020 #1","2020-11-03","2020-11-03","Online",0,1500
44067,566,"ALGS Autumn Circuit #3 - Europe","2020-10-31","2020-11-02","Online",1,10500
44066,566,"ALGS Autumn Circuit #3 - North America","2020-10-31","2020-11-02","Online",1,10500
44051,179,"Brazil vs Germany Bo7 Showmatch","2020-11-02","2020-11-02","Online",1,600
44047,655,"KWK Cup - Season 1 - Edition 3","2020-11-02","2020-11-02","Online",0,35.01
44035,648,"$10,000 Grizzley Gang Gaming Shootout","2020-11-01","2020-11-01","Online",0,10000
44150,532,"2020 eNASCAR iRacing Series","2020-02-11","2020-11-01","Online",0,242000
44069,566,"ALGS Autumn Circuit #3 - APAC North","2020-10-31","2020-11-01","Online",1,5250
44064,566,"ALGS Autumn Circuit #3 - APAC South","2020-10-31","2020-11-01","Online",1,5250
44149,348,"Buggyra Zero Mileage GT Cup","2020-04-10","2020-11-01","Online",0,2380
44002,231,"CDA-FDC Professional Championship","2020-10-22","2020-11-01","Online",1,89802
44294,507,"Clash of Clans World Championship #6 Qualifier 2020","2020-10-30","2020-11-01","World",1,45000
44056,245,"cyberPRO Series #2","2020-10-12","2020-11-01","Online",1,10000
43999,655,"CZC.cz Trackmania Cup","2020-11-01","2020-11-01","Online",0,111.22
44058,245,"ESL Masters España Season 8 - Playoffs (CS:GO)","2020-10-31","2020-11-01","Online",1,15132.52
44003,231,"ESL One Germany 2020 - Online","2020-10-05","2020-11-01","Online",1,401000
