"","TeamId","TeamName","TotalUSDPrize","TotalTournaments"
"502",24737,"FATE Esports",87941.1,10
"503",24801,"Simplicity Esports",87593,10
"504",24785,"Infinity Esports",87311.55,21
"505",24720,"Syman Gaming",86874,18
"506",746,"Team TopDeck",86574.32,8
"507",644,"iGame.com",86488.02,18
"508",859,"Guangzhou Charge",86250,3
"509",503,"Hard Random",85851.35,13
"510",176,"Exile5",85215.15,86
"511",24845,"KOVA Esports",85185.26,15
"512",24745,"Alfa Romeo Racing F1 Esports Team",85000,1
"513",616,"Project_kr",84790.5,8
"514",24963,"DefuseKids",84680.98,29
"515",148,"vVv Gaming",84551.07,19
"516",591,"Turkish National Team",84079.22,8
"517",24820,"The Rumblers",84000,4
"518",520,"Phoenix1",83633.03,52
"519",592,"Argentinian National Team",82858.56,9
"520",24713,"Tornado Energy",82594.1,11
"521",371,"Winterfox",82490.52,67
"522",598,"Dutch National Team",82238.35,16
"523",684,"Fable eSports",81868.5,10
"524",643,"1907 Fenerbahçe Esports",80972.84,8
"525",612,"Team Skadis Gift",80797.99,10
"526",759,"Dallas Fuel",80000,3
"527",779,"Brøndby IF eSport",79770,8
"528",24795,"PACT",79253.61,25
"529",690,"Italian National Team",77500,11
"530",593,"Czech National Team",76383.55,6
"531",191,"a-Losers",76316.94,20
"532",946,"McLaren Shadow",76000,2
"533",24857,"Estral Esports",75250,8
"534",24815,"Hive",74500,7
"535",24877,"MnM Gaming",74309.69,32
"536",24948,"Team Flash",74289.52,3
"537",761,"GameTV",73257.32,71
"538",439,"FM eSports",73006.75,29
"539",24714,"Northern Lights",72850,8
"540",786,"Clutch Gaming",72812.5,3
"541",308,"Automatic Reload",71575,5
"542",24674,"Mazer Gaming",70194.09,10
"543",457,"Berlin Allianz",70000,2
"544",24826,"Sunsister",69749.7,14
"545",25012,"The Peeps",69250,5
"546",206,"LGB eSports",68457.08,23
"547",217,"Team Property",67644.03,33
"548",320,"SBENU",66726.07,32
"549",274,"EYEBALLERS",66301.88,8
"550",464,"Team Question Mark",66060.56,4
"551",434,"AT Gaming",66009.56,65
"552",454,"Alien Invasion",65878.06,130
"553",696,"Japanese National Team",65500,8
"554",330,"VwS Gaming",64345.79,152
"555",844,"Sigma",63620.13,9
"556",108,"CheckSix Gaming",63515.24,35
"557",550,"Most Valuable Gaming",63282.35,74
"558",799,"Wind and Rain",63238.65,33
